Image,Bead,X_measured_FWHM,Y_measured_FWHM,Z_measured_FWHM,X_theoretical_FWHM,Y_theoretical_FWHM,Z_theoretical_FWHM,X_ratio,Y_ratio,Z_ratio,X_fit,Y_fit,Z_fit,Lateral_Asymmetry,X_coordinate,Y_coordinate,X_validity,Y_validity,Z_validity
GreenBeads63x.lif-Series005,bead137,,,,,,,,,,0.99813933392608,0.991887809828329,0.9773829214140899,,259,615,valid,valid,valid
GreenBeads63x.lif-Series005,bead138,,,,,,,,,,0.9973016816056881,0.9912427298465084,0.9765484874068461,,937,830,valid,valid,valid
GreenBeads63x.lif-Series005,bead139,,,,,,,,,,0.9982902595471133,0.9955968420785487,0.990928940089727,,1082,1754,valid,valid,valid
GreenBeads63x.lif-Series005,bead140,,,,,,,,,,0.9970552639584939,0.996275137311266,0.9825985407002701,,1629,1917,valid,valid,valid
GreenBeads63x.lif-Series005,bead141,,,,,,,,,,0.9972601857901845,0.9956437535748898,0.9885676461618267,,899,1640,valid,valid,valid
GreenBeads63x.lif-Series005,bead142,,,,,,,,,,0.9961879358881515,0.9909794673071795,0.9859991793849621,,1314,1507,valid,valid,valid
GreenBeads63x.lif-Series005,bead143,,,,,,,,,,0.9966602700949149,0.9916702786066486,0.9809944854966278,,845,1891,valid,valid,valid
GreenBeads63x.lif-Series005,bead144,,,,,,,,,,0.9987631689195395,0.9921731732590622,0.9814242591743081,,832,312,valid,valid,valid
GreenBeads63x.lif-Series005,bead145,,,,,,,,,,0.9976869477243988,0.9907066163319991,0.9834633345500844,,1350,501,valid,valid,valid
GreenBeads63x.lif-Series005,bead146,,,,,,,,,,0.9969001745486867,0.9926337761153092,0.9817207328869773,,1259,1327,valid,valid,valid
GreenBeads63x.lif-Series005,bead147,,,,,,,,,,0.9959884439342607,0.9952964980445844,0.9865646661775206,,1635,1190,valid,valid,valid
GreenBeads63x.lif-Series005,bead148,,,,,,,,,,0.9968013312522966,0.9968117786879561,0.9875319964639534,,1005,1107,valid,valid,valid
GreenBeads63x.lif-Series005,bead149,,,,,,,,,,0.996559292040615,0.9964309542714721,0.9843877046257923,,1344,1064,valid,valid,valid
GreenBeads63x.lif-Series005,bead150,,,,,,,,,,0.9962558914297863,0.9885211764932622,0.9826790630029726,,1440,119,valid,outlier (above upper fence of 0.308µm),valid
GreenBeads63x.lif-Series005,bead151,,,,,,,,,,0.997677111047673,0.9907837408677441,0.990816466738592,,1732,1335,valid,valid,valid
GreenBeads63x.lif-Series005,bead152,,,,,,,,,,0.9974656791131505,0.9900023806500351,0.9840763622762899,,1222,733,valid,valid,valid
GreenBeads63x.lif-Series005,bead153,,,,,,,,,,0.997420555140242,0.9931594544276507,0.9872064211286123,,804,1120,valid,valid,valid
